implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,cv_macro_f1_std,cv_macro_recall_mean,cv_macro_recall_std,cv_macro_sensitivity_mean,cv_macro_sensitivity_std,cv_macro_roc_auc_mean,cv_macro_roc_auc_std,cv_cross_entropy_mean,cv_cross_entropy_std,cv_brier_mean,cv_brier_std,cv_ece_mean,cv_ece_std,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,agaricus-lepiota.data,13,uniform,euclidean,0.050815582275390625,0.5300295352935791,0.0009996891021728516,0.1241762638092041,-0.01171875,0.9984589909300523,0.002337261987724946,0.998404848892488,0.0024186961010804965,0.998404848892488,0.0024186961010804965,0.9999962081118451,4.331145724228007e-06,0.005766322144449878,0.0035246536574479576,0.003468637861903505,0.0027505419927513607,0.0028051892443436673,0.0007425511376017034,0.9981511547597917,0.9980842911877382,0.9980842911877382,1.0,0.0038057098291267577,0.0022940373236231223,0.0024142011834320585
sklearn,agaricus-lepiota.data,13,uniform,manhattan,0.050815582275390625,0.7267575263977051,0.0,0.17883872985839844,0.109375,0.99922963866761,0.0011934526460793305,0.9992022970583573,0.0012354014914344631,0.9992022970583573,0.0012354014914344631,1.0,0.0,0.002001630853271284,0.002170356645915834,0.0011870985103558176,0.0015694196216697268,0.0011598361962547646,0.0008186480460067812,0.9981511547597917,0.9980842911877382,0.9980842911877382,1.0,0.002206516042470941,0.0013618570778334094,0.0016568047337278263
sklearn,agaricus-lepiota.data,13,distance,euclidean,0.050815582275390625,0.20141005516052246,0.0,0.057824134826660156,-0.0078125,0.9990754437864806,0.0018491124260354929,0.9990430622009553,0.0019138755980861346,0.9990430622009553,0.0019138755980861346,1.0,0.0,0.003736735924733687,0.0021797845185203574,0.0020427931644508915,0.0017486074403658784,0.0022051254416243847,0.0007099729779190859,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0019919396274667655,0.0008812448171008495,0.001709688928601672
sklearn,agaricus-lepiota.data,13,distance,manhattan,0.050815582275390625,0.5861198902130127,0.0,0.16588377952575684,-0.00390625,0.9995378048927224,0.0009243902135519288,0.9995215311004768,0.0009569377990430892,0.9995215311004768,0.0009569377990430892,1.0,0.0,0.0008348670817160481,0.0008400572627797605,0.00043050944204751646,0.0006577145576249501,0.0005362746587011974,0.00032140006982834813,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.000563525730022306,0.00013967849387756137,0.0005243461436790365
sklearn,agaricus-lepiota.data,15,uniform,euclidean,0.050815582275390625,0.4355740547180176,0.0020029544830322266,0.11451888084411621,-0.00390625,0.998304815829153,0.002254485082824042,0.9982451044835423,0.0023329232718722246,0.9982451044835423,0.0023329232718722246,0.9999931269000477,6.884524294250558e-06,0.006931609368729092,0.003175065922068757,0.004241098543916097,0.0025892594392982935,0.0038671561951008097,0.0009207728179779318,0.997534756145162,0.9974457215836514,0.9974457215836514,1.0,0.005211483724124783,0.0032,0.0018461538461537292
sklearn,agaricus-lepiota.data,15,uniform,manhattan,0.050815582275390625,0.7201008796691895,0.0,0.16790103912353516,0.0,0.99922963866761,0.0011934526460793305,0.9992022970583573,0.0012354014914344631,0.9992022970583573,0.0012354014914344631,0.9999997630168899,4.739662204045203e-07,0.0021003781916121783,0.0019483947640814544,0.0012171308633202398,0.0014006192789252775,0.0011077791595112043,0.0007399630513569614,0.9981511547597917,0.9980842911877382,0.9980842911877382,1.0,0.0025653737313702735,0.001608205128205128,0.0018871794871794679
sklearn,agaricus-lepiota.data,15,distance,euclidean,0.050815582275390625,0.22181248664855957,0.0,0.06526064872741699,-0.00390625,0.9989213962770437,0.0017970220201416892,0.9988835725677815,0.0018599527575264207,0.9988835725677815,0.0018599527575264207,1.0,0.0,0.004456015974758528,0.002108276187727732,0.002447750543805377,0.0017459793908864865,0.002598329984321408,0.0005002071077337305,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0027368078350315764,0.0012517387046301095,0.002327297399123187
sklearn,agaricus-lepiota.data,15,distance,manhattan,0.050815582275390625,0.6248283386230469,0.002006053924560547,0.18793082237243652,0.00390625,0.9996918876380304,0.000616224722935943,0.9996810207336507,0.0006379585326953929,0.9996810207336507,0.0006379585326953929,1.0,0.0,0.0009534877065857629,0.0008549734702945541,0.00046884025807282384,0.0006460419728421851,0.000606486516188351,0.00029837861416240585,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0006798894520385128,0.00019119509495326,0.000625129765419013
sklearn,agaricus-lepiota.data,17,uniform,euclidean,0.050815582275390625,0.49448132514953613,0.0,0.13735365867614746,0.0,0.9975341419189668,0.0028168318452629687,0.9974476563176731,0.002914472762155528,0.9974476563176731,0.002914472762155528,0.9999900453624804,9.377280438270733e-06,0.008151178469705731,0.003222816983901131,0.005136608635909402,0.002685986468976638,0.0040730321618788045,0.0006910330542124521,0.997534756145162,0.9974457215836514,0.9974457215836514,0.9999908992455475,0.006560484392032428,0.004126696832579185,0.0017737556561086445
sklearn,agaricus-lepiota.data,17,uniform,manhattan,0.050815582275390625,0.808438777923584,0.0,0.19768810272216797,0.1015625,0.99922963866761,0.0011934526460793305,0.9992022970583573,0.0012354014914344631,0.9992022970583573,0.0012354014914344631,0.999999288997872,9.48024837345532e-07,0.002216762583164917,0.0016632184888457178,0.0012382670644255948,0.0012803275310218384,0.0012761365338460797,0.0007057973578135733,0.9981511547597917,0.9980842911877382,0.9980842911877382,1.0,0.002985072868092332,0.001890870375299441,0.0013031674208144161
