implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,Column1,cv_macro_recall_mean,Column2,cv_macro_sensitivity_mean,Column3,cv_macro_roc_auc_mean,Column4,cv_cross_entropy_mean,Column5,cv_brier_mean,Column6,cv_ece_mean,Column7,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,wine,7,uniform,manhattan,0.003001213,0.025065899,0,0.004998446,0,0.978877458,,0.982323232,,0.982323232,,0.999270309,,0.089675637,,0.052347441,,0.040007037,,1,1,1,1,0.069276016,0.030612245,0.05952381
sklearn,wine,7,distance,euclidean,0.003001213,0.018042088,0.001000166,0.00200057,0,0.951247727,,0.959090909,,0.959090909,,0.995499109,,0.293597829,,0.073780853,,0.052149205,,1,1,1,1,0.087973676,0.048300603,0.071718215
sklearn,wine,7,distance,manhattan,0.003001213,0.018042088,0.001001358,0.002999783,0,0.978877458,,0.982323232,,0.982323232,,1,,0.087244994,,0.051096788,,0.038744244,,1,1,1,1,0.066140074,0.029594864,0.056503089
sklearn,wine,9,uniform,euclidean,0.003001213,0.025817633,0,0.004617691,0,0.951247727,,0.959090909,,0.959090909,,0.998351159,,0.118783184,,0.071002858,,0.057827039,,1,1,1,1,0.09349249,0.048696845,0.077160494
sklearn,wine,9,uniform,manhattan,0.003001213,0.030132771,0.001092434,0.005029917,0,0.972284879,,0.977272727,,0.977272727,,0.998928657,,0.096370759,,0.05508119,,0.063245758,,1,1,1,1,0.084146039,0.040466392,0.070987654
sklearn,wine,9,distance,euclidean,0.003001213,0.018422365,0,0.003010988,0,0.951247727,,0.959090909,,0.959090909,,0.998336304,,0.117122366,,0.070333499,,0.062236554,,1,1,1,1,0.088244011,0.044298996,0.073687694
sklearn,wine,9,distance,manhattan,0.003001213,0.019202471,0.001000643,0.003513813,0,0.972028109,,0.977272727,,0.977272727,,0.999643494,,0.093197438,,0.053438029,,0.062915096,,1,1,1,1,0.078653615,0.036710652,0.066801067
sklearn,wine,11,uniform,euclidean,0.003001213,0.027050972,0.001000881,0.004520178,0,0.95051747,,0.959090909,,0.959090909,,0.998529412,,0.122974033,,0.071550706,,0.064733542,,1,1,1,1,0.082232425,0.036730946,0.070707071
sklearn,wine,11,uniform,manhattan,0.003001213,0.024044991,0.001510382,0.004012585,0,0.965601504,,0.971212121,,0.971212121,,0.998096809,,0.107331316,,0.060656272,,0.063972235,,0.974320988,0.976190476,0.976190476,1,0.082108693,0.039944904,0.068181818
sklearn,wine,11,distance,euclidean,0.003001213,0.019044638,0.00100112,0.002999544,0,0.95051747,,0.959090909,,0.959090909,,0.99869281,,0.120766037,,0.07064868,,0.063967513,,1,1,1,1,0.07935434,0.035067037,0.068387005
sklearn,wine,11,distance,manhattan,0.003001213,0.019042015,0,0.002999306,0,0.965344734,,0.971212121,,0.971212121,,0.999316696,,0.103226063,,0.058488725,,0.057388264,,0.974320988,0.976190476,0.976190476,1,0.078105452,0.037329271,0.065286632
sklearn,wine,13,uniform,euclidean,0.003001213,0.025571585,0.001000404,0.004510164,0,0.958661359,,0.965151515,,0.965151515,,0.999019608,,0.12042765,,0.067884105,,0.063319439,,1,1,1,1,0.100849827,0.052268245,0.083333333
sklearn,wine,13,uniform,manhattan,0.003001213,0.025056839,0,0.004508734,0,0.966166156,,0.971212121,,0.971212121,,0.999494949,,0.104618486,,0.05923281,,0.066483516,,0.974320988,0.976190476,0.976190476,1,0.096434947,0.047666009,0.061965812
sklearn,wine,13,distance,euclidean,0.003001213,0.018533707,0.001509666,0.003011703,0,0.958661359,,0.965151515,,0.965151515,,0.999019608,,0.118138214,,0.067052529,,0.060800732,,1,1,1,1,0.095389207,0.04811071,0.079469228
